	ROB	Channel	flag_fit_method	flag_chi2	Chi2NDF	ped_mean	ped_sigma	Sigma	Min_x	Max_x	N0	Q_{0}	Q_{1}	#sigma_{0}	#sigma_{1}	w	#alpha	#mu	err1	err2	err3	err4	err5	err6	err7	err8	log
0	15	0	1	0	1.6512	243.91	4.046	3	225.91	1203	206270.0	237.17	91.645	4.6092	48.431	0.091323	0.030322	1.833	0	0.038034	0.41976	0.026195	0.43278	0.010452	0.0025866	0.010959	1
1	15	1	1	0	1.8459	242.18	4.0819	3	224.18	1164	206270.0	240.42	85.93	5.3308	46.915	0.077474	0.033711	1.8394	0	0.048644	0.40082	0.030055	0.38617	0.011217	0.0031724	0.011222	1
2	15	2	1	0	1.9962	248.21	3.9238	3	230.21	1020	206270.0	244.92	74.767	5.3066	38.967	0.088375	0.036151	1.3182	0	0.037795	0.3292	0.0227	0.30678	0.0086913	0.0024387	0.0081455	1
3	15	3	2	0	2.2825	249.63	3.998	3	231.63	1066	206270.0	246.35	94.856	5.2742	43.914	0.06406	0.046042	1.2531	0	0.031317	0.29553	0.020698	0.30015	0.0057249	0.0043258	0.0056611	1
4	15	4	1	0	1.9699	245.2	4.0784	1	242.2	974	206270.0	241.48	90.008	5.3522	41.964	0.084097	0.03281	1.0103	0	0.049302	0.32446	0.036003	0.30514	0.0058534	0.0019383	0.0059939	2
5	15	5	1	0	2.4103	249.3	4.0284	3	231.3	957	206270.0	245.31	89.839	5.6205	38.311	0.1257	0.031172	1.0607	0	0.030404	0.24914	0.021512	0.25236	0.0051533	0.0012496	0.0047841	1
6	15	6	1	0	2.2542	250.87	4.0183	3	232.87	1144	206270.0	246.26	93.229	5.4958	42.435	0.12455	0.035794	1.4966	0	0.04009	0.29506	0.026748	0.319	0.0072296	0.0019362	0.0068243	1
7	15	7	1	0	2.0098	255.07	4.0076	3	237.07	953	206270.0	249.0	72.635	5.2439	40.743	0.11552	0.034569	1.3789	0	0.00022476	0.32774	0.026737	0.3319	0.0075825	0.0019804	0.0085903	1
8	15	8	1	0	2.5811	253.58	3.9987	3	235.58	1172	206270.0	250.15	87.153	4.9648	49.367	0.024151	0.048356	1.6749	0	0.041735	0.42369	0.024952	0.42854	0.0098481	0.013492	0.0098809	1
9	15	9	1	0	2.3586	255.83	4.0552	3	237.83	1025	206270.0	251.93	86.475	5.2406	47.26	0.040587	0.051181	1.1888	0	0.034176	0.38254	0.020071	0.39002	0.006858	0.0059992	0.0065501	1
10	15	10	1	0	2.2494	256.05	3.9814	3	238.05	930	206270.0	253.0	84.419	5.0351	39.571	0.070632	0.049946	0.92074	0	4.0126e-05	0.27401	0.015977	0.27067	0.0040762	0.003772	0.0047662	1
11	15	11	2	0	2.4803	242.31	4.0469	3	224.31	970	206270.0	240.84	94.784	5.673	38.684	0.094202	0.031034	0.86104	0	0.024988	0.23253	0.017481	0.22835	0.0040141	0.0014714	0.0038619	1
12	15	12	1	0	2.9434	249.13	4.0472	3	231.13	970	206270.0	247.09	93.823	5.8247	43.217	0.02429	42.039	0.90218	0	0.021742	0.22688	0.016984	0.2421	0.0049663	369.48	0.0037845	1
13	15	13	1	0	2.5978	257.02	4.0685	3	239.02	1055	206270.0	254.06	99.128	5.1697	45.041	0.067252	0.053647	1.1708	0	0.031271	0.2866	0.01978	0.32342	0.004883	0.0044633	0.0047975	1
14	15	14	1	0	2.0397	247.74	4.0408	3	229.74	1011	206270.0	245.24	89.913	5.2804	42.197	0.091681	0.04026	1.0852	0	0.0302	0.29875	0.019141	0.29817	0.0055814	0.0025643	0.0055727	1
15	15	15	2	0	2.3579	237.93	4.0316	-1	243.93	1014	206270.0	236.92	90.091	4.7842	40.614	0.17727	0.029212	1.187	0	0.15474	0.32374	0.11679	0.27558	0.0057924	0.0010082	0.0063846	1
16	15	16	1	0	2.3589	251.43	4.0103	3	233.43	1056	206270.0	248.23	86.548	5.517	43.409	0.099435	0.035535	1.3494	0	0.038783	0.34991	0.024009	0.34654	0.0079506	0.0021914	0.007662	1
17	15	17	2	0	1.7498	232.51	4.0165	-1	238.51	995	206270.0	234.19	95.978	4.8785	44.556	0.084171	0.037572	1.0056	0	0.061296	0.32621	0.05566	0.30253	0.0051351	0.0027763	0.0058911	1
18	15	18	1	0	2.0415	242.59	4.0648	-1	248.59	1024	206270.0	242.8	92.854	5.0032	38.436	0.1292	0.030622	0.94456	0	0.087423	0.26498	0.073387	0.24566	0.0045474	0.0012461	0.0048037	1
19	15	19	1	0	2.5386	248.75	4.0717	0	248.75	979	206270.0	247.71	96.816	5.4234	44.785	0.055288	0.045876	0.89023	0	0.04465	0.3246	0.03238	0.34579	0.0045927	0.003716	0.0049532	2
20	15	20	1	0	2.8989	239.3	4.0622	3	221.3	929	206270.0	238.54	101.26	6.0554	41.395	0.083167	0.029853	0.81185	0	0.026656	0.24933	0.017014	0.25855	0.0039454	0.0015808	0.0037926	1
21	15	21	1	1	3.2665	272.18	3.9707	3	263.18	925	206270.0	267.16	85.592	5.3963	40.229	0.045435	0.067567	0.93318	0	0.045911	0.28521	0.031741	0.32419	0.0052154	0.0072276	0.0046699	2
22	15	22	1	0	2.3285	252.1	4.0528	3	234.1	1063	206270.0	249.49	91.005	5.0124	43.29	0.054938	0.050783	1.0718	0	0.027793	0.29761	0.017578	0.31478	0.005003	0.004779	0.0050151	1
23	15	23	1	0	2.5018	256.8	4.1348	3	238.8	1051	206270.0	252.22	93.07	5.1814	46.296	0.067617	0.048521	1.1849	0	0.032318	0.34551	0.020448	0.3688	0.0060549	0.0042105	0.0060356	1
24	15	24	2	0	1.1558	264.51	4.0069	-5	279.51	1238	206270.0	163.73	110.45	117.85	44.204	0.00082486	1.0252e-05	1.592	0	10.909	0.66538	11.594	0.38281	0.00033167	3.4928e-06	0.010062	2
25	15	25	1	0	1.0399	255.26	4.1008	-5	270.26	1258	206270.0	73.983	114.74	146.8	51.17	0.034325	0.00021291	1.5401	0	35.111	0.90784	28.866	0.52	0.0085597	3.925e-05	0.012478	2
26	15	26	1	0	1.1802	265.53	4.0911	-3	274.53	1155	206270.0	240.91	109.09	14.433	47.549	0.19444	0.078668	1.2186	0	2.8022	0.69622	1.2449	0.40325	0.29407	0.037742	0.0081647	2
27	15	27	1	0	2.5157	259.46	4.0634	3	241.46	1089	206270.0	256.0	90.64	5.2305	50.605	0.017483	0.09269	1.1344	0	5.0251e-05	0.31316	0.018906	0.39013	0.0040222	0.019953	0.0044497	1
28	15	28	1	0	2.3122	242.22	4.1158	3	224.22	1001	206270.0	241.67	94.297	5.408	42.007	0.083671	0.040589	1.0258	0	0.028412	0.27633	0.018266	0.28498	0.0048565	0.0027235	0.0048796	1
29	15	29	1	0	2.6954	250.85	4.1116	3	232.85	1085	206270.0	249.81	98.165	5.473	45.802	0.060532	0.04499	1.0727	0	0.02996	0.30211	0.01816	0.32452	0.004888	0.0035284	0.0048054	1
30	15	30	1	0	2.3051	242.83	4.0918	3	224.83	976	206270.0	241.93	96.414	5.6954	44.135	0.065687	0.036762	1.0188	0	0.029499	0.29621	0.018305	0.30402	0.0051288	0.0027951	0.0049765	1
31	15	31	2	0	1.9962	232.85	4.0407	-1	238.85	820	206270.0	233.62	82.835	4.9088	35.836	0.22134	0.020718	0.82383	0	0.070099	0.33248	0.062845	0.2275	0.0042856	0.00047821	0.0045966	1
32	15	32	1	1	3.4306	266.76	4.0091	3	257.76	1108	206270.0	261.7	84.607	5.6219	39.312	0.089896	0.049397	1.4079	0	0.067538	0.31199	0.047522	0.32186	0.0080651	0.0035771	0.0073691	2
33	15	33	1	0	1.1519	262.32	4.0685	-5	277.32	1119	206270.0	225.64	108.0	22.535	46.254	0.010418	0.00073748	1.1066	0	7.0675	0.63774	3.5125	0.36554	0.0032686	0.00028043	0.0062056	2
34	15	34	1	0	2.5221	258.73	4.1328	3	249.73	1038	206270.0	255.14	88.644	5.1747	45.614	0.030713	0.07766	1.0431	0	0.041012	0.32975	0.030155	0.38986	0.0057535	0.012779	0.0049435	2
35	15	35	1	0	2.5065	259.8	4.0964	3	241.8	969	206270.0	256.49	82.448	5.1045	38.232	0.07059	0.049226	0.94883	0	0.027474	0.2699	0.017067	0.27402	0.0050534	0.0036035	0.0048172	1
36	15	36	2	0	2.5886	247.63	4.1429	3	229.63	1001	206270.0	246.57	90.236	5.3618	38.91	0.086974	0.040916	0.93996	0	0.026171	0.24517	0.017267	0.24139	0.0044143	0.0022829	0.0042738	1
37	15	37	1	0	2.5312	251.49	4.0875	3	233.49	1101	206270.0	249.92	96.782	5.4461	41.808	0.10114	0.047028	1.3486	0	0.03714	0.25775	0.022216	0.29084	0.0056974	0.0028905	0.0052792	1
38	15	38	1	0	2.001	259.09	4.1286	3	241.09	1250	206270.0	256.02	98.901	5.2926	53.781	0.039634	0.062879	1.6814	0	0.049346	0.40567	0.028133	0.448	0.0086879	0.011522	0.0079934	1
39	15	39	1	0	2.0088	250.28	4.0631	3	232.28	1010	206270.0	246.39	79.797	5.1868	46.221	0.072542	0.04366	1.5306	0	0.045097	0.42908	0.02629	0.40407	0.01029	0.0052489	0.010565	1
40	15	40	1	0	1.1724	266.46	4.0412	-5	281.46	1064	206270.0	241.08	107.25	89.593	44.265	0.70835	0.43587	1.1409	0	4.1607	0.86139	8.7099	0.33912	0.024123	1.1056	0.0091228	2
41	15	41	1	0	2.5443	253.87	4.1177	3	235.87	1114	206270.0	250.82	90.954	5.0598	45.746	0.047968	0.063198	1.2411	0	0.034271	0.32477	0.019845	0.35268	0.0059007	0.0085264	0.005742	1
42	15	42	1	0	2.1955	251.39	4.1335	1	248.39	1025	206270.0	250.03	93.254	5.2229	46.559	0.037129	0.06441	0.94768	0	0.045417	0.35666	0.031105	0.38076	0.0048865	0.008756	0.0052629	2
43	15	43	1	0	2.6222	252.92	4.0966	3	234.92	1145	206270.0	251.34	100.96	5.2116	46.269	0.064926	0.054443	1.1072	0	0.030087	0.28584	0.018288	0.32135	0.0044609	0.0042891	0.0044329	1
