hold time	mean	meanerror	RMS
0	1177.27	0.0132776	2.96897
1	1180	0.0124398	2.78163
2	1180.83	0.0759982	16.9937
3	1181.1	0.0137109	3.06585
4	1179.78	0.0144993	3.24215
5	1177.09	0.0147105	3.28937
6	1171.97	0.0223216	4.99127
7	1166.63	0.0125377	2.80352
8	1159.91	0.0128053	2.86335
9	1151.6	0.0140418	3.13985
10	1141.9	0.0229105	5.12295
11	1130.89	0.0228683	5.11351
12	1118.25	0.0146068	3.26618
13	1104.31	0.0134071	2.99791
14	1088.82	0.0132459	2.96188
15	1071.72	0.0139614	3.12186
16	1053.2	0.0151057	3.37774
17	1033.46	0.0157744	3.52726
18	1012.23	0.0153059	3.4225
19	989.983	0.0142876	3.19481
20	964.962	0.147024	32.8756
21	942.085	0.0372714	8.33414
22	916.784	0.0197538	4.41707
23	890.153	0.0195932	4.38118
24	861.156	0.125768	28.1226
25	833.731	0.0184513	4.12583
26	803.321	0.0727015	16.2566
27	772.637	0.035574	7.95458
28	740.182	0.0249258	5.57357
29	742	0	0
