chargeinjection	chargemeasure	measureerror	RMS
0	231.48	0	0
1	231.48	0	0
2	231.48	0	0
3	218.655	0.00172426	0.385555
4	184.727	0.00213293	0.476939
5	154.066	0.00221067	0.49432
6	125.631	0.00464425	1.03849
7	101.657	0.00171485	0.383453
8	81.878	0.00219069	0.489853
9	65.4739	0.000694011	0.155186
10	53.1766	0.00205596	0.459726
11	42.4524	0.000765745	0.171226
12	33.605	0.00148395	0.331821
13	26.7181	0.00190514	0.426002
14	21.4034	0.00119135	0.266395
15	16.9617	0.00223475	0.499705
16	13.4515	0.00075348	0.168483
17	10.4699	0.000579606	0.129604
18	8.28626	0.00176819	0.395379
19	6.40988	0.00115484	0.258231
20	4.60994	0.00150556	0.336654
21	3.49302	0.000556605	0.124461
22	2.4541	0.000811778	0.181519
23	1.4801	4.47191e-05	0.0099995
