chargeinjection	chargemeasure	measureerror	RMS
0	3003.34	0.0192549	4.30554
1	2928.6	0.0154413	3.45277
2	2700.73	0.014132	3.16001
3	2358.14	0.0159805	3.57335
4	1990.66	0.0201474	4.50509
5	1662.06	0.0185056	4.13798
6	1354.05	0.0157309	3.51755
7	1094.91	0.014678	3.2821
8	880.26	0.0141675	3.16795
9	702.418	0.0139964	3.12969
10	568.328	0.013504	3.01958
11	452.448	0.0131457	2.93947
12	358.563	0.013442	3.00572
13	282.781	0.012853	2.87403
14	220.614	0.0135233	3.02389
15	174.032	0.0127903	2.86
16	140.086	0.0112224	2.50941
17	118.822	0.0104509	2.33689
18	103.776	0.0109454	2.44746
19	89.7659	0.0120471	2.6938
20	75.3646	0.0133761	2.99099
21	61.4685	0.0149362	3.33983
22	45.7077	0.0176156	3.93896
23	35.2027	0.00100452	0.224617
